NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,건물명,도로조건,계약면적(㎡),전체주소,주택매매가격(만원)
271,부산광역시 사상구 학장동,858,858,0,학장동삼정그린코아아파트,전세,84.9513,202508,9,"30,000",0,10,2014,학감대로123번길 67,202510~202710,신규,-,,,아파트,,,,부산광역시 사상구 학장동 학감대로123번길 67,27500
272,부산광역시 기장군 정관읍 용수리,1275,1275,0,정관양우내안愛,전세,59.9527,202508,9,"18,000",0,13,2016,정관5로 144,202510~202710,신규,-,,,아파트,,,,부산광역시 기장군 정관읍 용수리 정관5로 144,20800
276,부산광역시 해운대구 중동,1818,1818,0,해운대힐스테이트위브,전세,102.3162,202508,9,"40,000",0,30,2015,좌동순환로433번길 30,202510~202710,신규,-,,,아파트,,,,부산광역시 해운대구 중동 좌동순환로433번길 30,75000
281,부산광역시 남구 용호동,980,980,0,데시앙해링턴플레이스파크시티,전세,59.9725,202508,9,"29,000",0,22,2023,용주로 36,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 용호동 용주로 36,38000
282,부산광역시 해운대구 재송동,1146-1,1146,1,재송그린,전세,50.31,202508,9,"5,000",0,5,1984,재반로118번길 71,202508~202708,신규,-,,,아파트,,,,부산광역시 해운대구 재송동 재반로118번길 71,12200
283,부산광역시 해운대구 재송동,1200,1200,0,더샵센텀파크1차,전세,125.4155,202508,9,"78,000",0,40,2005,센텀중앙로 145,202511~202711,신규,-,,,아파트,,,,부산광역시 해운대구 재송동 센텀중앙로 145,116000
287,부산광역시 동래구 온천동,1853,1853,0,동래래미안아이파크,전세,84.9856,202508,9,"51,500",0,6,2022,금정마을로 150,202509~202709,신규,-,,,아파트,,,,부산광역시 동래구 온천동 금정마을로 150,94000
290,부산광역시 남구 감만동,225-2,225,2,감만현대1차,전세,59.92,202508,9,"12,000",0,12,1996,우암로2번길 5,202510~202710,신규,-,,,아파트,,,,부산광역시 남구 감만동 우암로2번길 5,16500
297,부산광역시 사하구 괴정동,1295,1295,0,힐스테이트사하역,전세,84.921,202508,9,"40,000",0,15,2022,괴정로 166,202508~202708,신규,-,,,아파트,,,,부산광역시 사하구 괴정동 괴정로 166,59000
306,부산광역시 금정구 부곡동,981,981,0,삼한골든뷰에듀스테이션,전세,59.8215,202508,9,"33,000",0,34,2021,중앙대로1629번길 16,202511~202711,신규,-,,,아파트,,,,부산광역시 금정구 부곡동 중앙대로1629번길 16,60000
311,부산광역시 사하구 다대동,1670,1670,0,다대롯데캐슬블루,전세,84.9922,202508,9,"26,300",0,17,2014,다송로 23,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 다대동 다송로 23,39800
312,부산광역시 사하구 다대동,1624,1624,0,다대동롯데캐슬몰운대,전세,84.9748,202508,9,"18,000",0,15,2007,다대낙조2길 100,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 다대동 다대낙조2길 100,21700
314,부산광역시 강서구 명지동,3354,3354,0,명지1차 금강펜테리움 센트럴파크,전세,61.2559,202508,9,"23,000",0,10,2015,명지국제5로 59,202509~202709,신규,-,,,아파트,,,,부산광역시 강서구 명지동 명지국제5로 59,37500
316,부산광역시 사하구 감천동,682-1,682,1,감천현대,전세,75.18,202508,9,"15,000",0,4,1994,감천로 38,202510~202710,신규,-,,,아파트,,,,부산광역시 사하구 감천동 감천로 38,23300
318,부산광역시 부산진구 범전동,450,450,0,삼한골든뷰센트럴파크,전세,84.9936,202508,9,"41,000",0,56,2019,중앙대로 821,202510~202710,신규,-,,,아파트,,,,부산광역시 부산진구 범전동 중앙대로 821,80000
325,부산광역시 부산진구 부암동,755,755,0,시민공원삼정그린코아더베스트,전세,59.5632,202508,9,"27,000",0,6,2022,동평로 176,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 부암동 동평로 176,36000
327,부산광역시 동구 범일동,1664,1664,0,두산위브더제니스하버시티,전세,84.6314,202508,9,"38,000",0,33,2023,범일로 21,202509~202702,신규,-,,,아파트,,,,부산광역시 동구 범일동 범일로 21,53800
328,부산광역시 부산진구 범천동,886-41,886,41,범일역이즈,전세,58.6293,202508,9,"24,000",0,4,2019,범일로131번길 46,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 범천동 범일로131번길 46,27000
331,부산광역시 영도구 동삼동,510-2,510,2,절영아파트(208동-214동),전세,46.27,202508,9,"8,500",0,13,1995,와치로 231,202509~202709,신규,-,,,아파트,,,,부산광역시 영도구 동삼동 와치로 231,8500
332,부산광역시 영도구 동삼동,1124,1124,0,함지그린,전세,57.09,202508,9,"10,500",0,5,1994,함지로 8,202509~202709,신규,-,,,아파트,,,,부산광역시 영도구 동삼동 함지로 8,17700
337,부산광역시 부산진구 양정동,458-20,458,20,현대2차,전세,84.99,202508,8,"25,000",0,22,1998,거제대로 37,202509~202709,신규,-,,,아파트,,,,부산광역시 부산진구 양정동 거제대로 37,37500
