NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),층,건축년도,도로명,계약기간,주택유형,전체주소,주택매매가격(만원)
287,부산광역시 동래구 온천동,1853,1853.0,0.0,동래래미안아이파크,전세,84.9856,202508,"51,500",6.0,2022.0,금정마을로 150,202509~202709,아파트,부산광역시 동래구 온천동 금정마을로 150,94000
290,부산광역시 남구 감만동,225-2,225.0,2.0,감만현대1차,전세,59.92,202508,"12,000",12.0,1996.0,우암로2번길 5,202510~202710,아파트,부산광역시 남구 감만동 우암로2번길 5,16500
297,부산광역시 사하구 괴정동,1295,1295.0,0.0,힐스테이트사하역,전세,84.921,202508,"40,000",15.0,2022.0,괴정로 166,202508~202708,아파트,부산광역시 사하구 괴정동 괴정로 166,59000
306,부산광역시 금정구 부곡동,981,981.0,0.0,삼한골든뷰에듀스테이션,전세,59.8215,202508,"33,000",34.0,2021.0,중앙대로1629번길 16,202511~202711,아파트,부산광역시 금정구 부곡동 중앙대로1629번길 16,60000
311,부산광역시 사하구 다대동,1670,1670.0,0.0,다대롯데캐슬블루,전세,84.9922,202508,"26,300",17.0,2014.0,다송로 23,202510~202710,아파트,부산광역시 사하구 다대동 다송로 23,39800
312,부산광역시 사하구 다대동,1624,1624.0,0.0,다대동롯데캐슬몰운대,전세,84.9748,202508,"18,000",15.0,2007.0,다대낙조2길 100,202510~202710,아파트,부산광역시 사하구 다대동 다대낙조2길 100,21700
314,부산광역시 강서구 명지동,3354,3354.0,0.0,명지1차 금강펜테리움 센트럴파크,전세,61.2559,202508,"23,000",10.0,2015.0,명지국제5로 59,202509~202709,아파트,부산광역시 강서구 명지동 명지국제5로 59,37500
316,부산광역시 사하구 감천동,682-1,682.0,1.0,감천현대,전세,75.18,202508,"15,000",4.0,1994.0,감천로 38,202510~202710,아파트,부산광역시 사하구 감천동 감천로 38,23300
318,부산광역시 부산진구 범전동,450,450.0,0.0,삼한골든뷰센트럴파크,전세,84.9936,202508,"41,000",56.0,2019.0,중앙대로 821,202510~202710,아파트,부산광역시 부산진구 범전동 중앙대로 821,80000
325,부산광역시 부산진구 부암동,755,755.0,0.0,시민공원삼정그린코아더베스트,전세,59.5632,202508,"27,000",6.0,2022.0,동평로 176,202509~202709,아파트,부산광역시 부산진구 부암동 동평로 176,36000
327,부산광역시 동구 범일동,1664,1664.0,0.0,두산위브더제니스하버시티,전세,84.6314,202508,"38,000",33.0,2023.0,범일로 21,202509~202702,아파트,부산광역시 동구 범일동 범일로 21,53800
